X	logFC	FDR
NCU11417	4.6147470018833	1.09233759956068e-10
NCU09026	8.39610035745628	1.10261171314817e-10
NCU09339	9.06922205048149	1.17548915296905e-10
NCU04396	7.4469981133314	1.22350634223669e-10
NCU06373	3.75245048653453	1.22350634223669e-10
NCU01193	5.06084068855716	1.264236185078e-10
NCU01407	3.71742293403273	1.28131678173009e-10
NCU07918	7.91944935697835	1.28885594974124e-10
tnr-1	7.14807638538902	1.29110157545273e-10
NCU02976	3.8497133716963	1.31054585464794e-10
NCU01106	4.51235227528591	1.31631526875338e-10
NCU07525	8.01523524644796	1.34084849324225e-10
NCU05183	5.99095466520447	1.34084849324225e-10
NCU07623	5.50112259818882	1.34293766439249e-10
NCU05786	3.67020287701196	1.34293766439249e-10
NCU01938	2.63311116391369	1.36736923300731e-10
NCU11383	6.66966375761186	1.36931985630489e-10
NCU09031	4.9115446762873	1.36998968411376e-10
NCU02950	4.67280837340585	1.40036660893879e-10
NCU00844	4.14947222709159	1.40036660893879e-10
NCU09917	5.46059010175034	1.41016392027505e-10
NCU02931	6.07659533350002	1.42701133913309e-10
NCU08391	2.34672299391505	1.42960993851164e-10
NCU07888	4.58979421583911	1.4447213790439e-10
NCU09407	4.40482409676807	1.45848487619465e-10
NCU01562	5.78029268992704	1.50358439913223e-10
NCU00874	3.28400501471636	1.54671551068235e-10
NCU00547	5.62407005679585	1.62756961752001e-10
NCU16027	5.98248425499942	1.63209846989975e-10
NCU00559	2.93650904784798	1.63209846989975e-10
nst-6	3.83941453384191	1.64090939931003e-10
NCU07114	3.96472853337673	1.64090939931003e-10
NCU09252	3.50365444390775	1.6565026834697e-10
NCU08826	2.45848452957659	1.73218811113614e-10
NCU00085	2.92098670829606	1.74449311002299e-10
NCU00937	3.59430807663916	1.78915527953525e-10
NCU02793	3.51436492384661	1.88095133553396e-10
NCU03422	5.57247347599583	1.97320599235872e-10
NCU05043	5.04527609020026	2.06581624220789e-10
chs-1	3.07994902588857	2.09475164073997e-10
mb-2	2.68711568399345	2.16880822087995e-10
NCU05700	4.92819364190222	2.22358363728356e-10
NCU09664	6.68261717627425	2.22841553529383e-10
NCU07201	5.14944424391125	2.22841553529383e-10
fi	3.04853911159141	2.22841553529383e-10
NCU04167	5.87646909661834	2.22841553529383e-10
NCU05859	5.46763582036491	2.30646138625671e-10
NCU03198	4.87258096943775	2.34130481137681e-10
NCU02975	5.12961591245574	2.46218259356985e-10
NCU00627	2.73426236156616	2.47688407306796e-10
NCU15833	6.0313119972733	2.52840975692141e-10
NCU01869	5.16991348378223	2.53235128282027e-10
NCU09829	3.13778344238797	2.55644035630505e-10
NCU08776	3.43129193367352	2.55644035630505e-10
NCU08691	4.90656993829252	2.55644035630505e-10
NCU04882	7.95902989892631	2.55644035630505e-10
acd-1	2.56731096396291	2.56755809057757e-10
NCU03287	5.07333025906188	2.69205627785084e-10
NCU04920	5.52907598247167	2.76473244260075e-10
NCU04048	2.76964079144957	2.77706402766072e-10
NCU07527	3.78924467180002	2.84615399332044e-10
NCU04208	4.39042716555453	2.92645676324681e-10
NCU00196	2.55399042284541	2.95097179005924e-10
NCU05858	5.63042038157104	3.03413457621345e-10
NCU09243	2.88343657581788	3.05804131771388e-10
NCU00388	2.5959553875369	3.20902463899814e-10
stk-36	5.59832290391849	3.27803597706514e-10
NCU08969	4.90147245851129	3.3318348322231e-10
NCU05988	3.05460224115616	3.35039545873858e-10
NCU09293	4.60022439092062	3.39597890385896e-10
NCU00595	3.0557512974278	3.42258387842003e-10
NCU04807	2.47301282616769	3.45935612870726e-10
NCU11128	3.23734254655653	3.48686781699076e-10
NCU04490	6.01729311578811	3.52689995240094e-10
