SampleID,Strain,Antibody,Condition,Treatment,Replicate,bamReads,Peaks,Peakcaller
cac-3_CS_K27_Rep_2,cac3,H3K27me3_CS,ChIP,,2,bam_files/DiffBind/CAF/6147_136-81_ChIP_cac-3_H3K27me3_CS_Rep2_S80.bam,../peak_files/DiffBind/CAF-1_Paper/cac-3_CS_H3K27me3_Rep2_peaks.broadPeak,macs
cac-3_CS_K27_Rep_3,cac3,H3K27me3_CS,ChIP,,3,bam_files/DiffBind/CAF/138-60_ChIP_cac-3_H3K27me3_Rep3_6252_S59.bam,../peak_files/DiffBind/CAF-1_Paper/cac-3_CS_H3K27me3_Rep3_peaks.broadPeak,macs
set-7_CS_K27_Rep_1,set7,H3K27me3_CS,ChIP,,1,bam_files/DiffBind/CAF/126-58_ChIP_set-7_H3K27me3_CS_Rep3_S52.bam,../peak_files/DiffBind/CAF-1_Paper/cac-3_abc_H3K27me3_Rep2_peaks.broadPeak,macs
set-7_CS_K27_Rep_2,set7,H3K27me3_CS,ChIP,,2,bam_files/DiffBind/CAF/6147_136-83_ChIP_set-7_H3K27me3_CS_Rep2_S82.bam,../peak_files/DiffBind/CAF-1_Paper/set-7_abc_H3K27me3_Rep1_peaks.broadPeak,macs
set-7_CS_K27_Rep_3,set7,H3K27me3_CS,ChIP,,3,bam_files/DiffBind/CAF/138-61_ChIP_set-7_H3K27me3_Rep3_6252_S60.bam,../peak_files/DiffBind/CAF-1_Paper/set-7_abc_H3K27me3_Rep2_peaks.broadPeak,macs
ash-1_CS_K27_Rep_1,ash1,H3K27me3_CS,ChIP,,1,bam_files/DiffBind/CAF/ash1_H3K27me2me3_Rep1.bam,,macs
ash-1_CS_K27_Rep_2,ash1,H3K27me3_CS,ChIP,,2,bam_files/DiffBind/CAF/ash1_H3K27me2me3_Rep2.bam,,macs
WT_abc_K27_Rep_1,WT,H3K27me3_abc,ChIP,,1,bam_files/DiffBind/CAF/129-38_ChIP_WT_K27me3_AbC_Rep_1_S37.bam,../peak_files/DiffBind/CAF-1_Paper/WT_abc_H3K27me3_Rep1_peaks.broadPeak,macs
WT_abc_K27_Rep_2,WT,H3K27me3_abc,ChIP,,2,bam_files/DiffBind/CAF/6147_136-1_ChIP_WT_H3K27me3_abcam_Rep2_S1.bam,../peak_files/DiffBind/CAF-1_Paper/WT_abc_H3K27me3_Rep2_peaks.broadPeak,macs
cac-1_abc_K27_Rep_1,cac1,H3K27me3_abc,ChIP,,1,bam_files/DiffBind/CAF/129-39_ChIP_cac-1_K27me3_AbC_Rep_1_S38.bam,../peak_files/DiffBind/CAF-1_Paper/cac-1_abc_H3K27me3_Rep1_peaks.broadPeak,macs
cac-1_abc_K27_Rep_2,cac1,H3K27me3_abc,ChIP,,2,bam_files/DiffBind/CAF/6147_136-2_ChIP_cac-1_H3K27me3_abcam_Rep2_S2.bam,../peak_files/DiffBind/CAF-1_Paper/cac-1_abc_H3K27me3_Rep2_peaks.broadPeak,macs
cac-2_abc_K27_Rep_1,cac2,H3K27me3_abc,ChIP,,1,bam_files/DiffBind/CAF/129-40_ChIP_cac-2_K27me3_AbC_Rep_1_S39.bam,../peak_files/DiffBind/CAF-1_Paper/cac-2_abc_H3K27me3_Rep1_peaks.broadPeak,macs
cac-2_abc_K27_Rep_2,cac2,H3K27me3_abc,ChIP,,2,bam_files/DiffBind/CAF/6147_136-3_ChIP_cac-2_H3K27me3_abcam_Rep2_S3.bam,../peak_files/DiffBind/CAF-1_Paper/cac-2_abc_H3K27me3_Rep2_peaks.broadPeak,macs
cac-3_abc_K27_Rep_1,cac3,H3K27me3_abc,ChIP,,1,bam_files/DiffBind/CAF/129-41_ChIP_cac-3_K27me3_AbC_Rep_1_S40.bam,../peak_files/DiffBind/CAF-1_Paper/cac-3_abc_H3K27me3_Rep1_peaks.broadPeak,macs
cac-3_abc_K27_Rep_2,cac3,H3K27me3_abc,ChIP,,2,bam_files/DiffBind/CAF/6147_136-4_ChIP_cac-3_H3K27me3_abcam_Rep2_S4.bam,../peak_files/DiffBind/CAF-1_Paper/cac-3_abc_H3K27me3_Rep2_peaks.broadPeak,macs
set-7_abc_K27_Rep_1,set7,H3K27me3_abc,ChIP,,1,bam_files/DiffBind/CAF/129-42_ChIP_set-7_K27me3_AbC_Rep_1_S41.bam,../peak_files/DiffBind/CAF-1_Paper/set-7_abc_H3K27me3_Rep1_peaks.broadPeak,macs
set-7_abc_K27_Rep_2,set7,H3K27me3_abc,ChIP,,2,bam_files/DiffBind/CAF/6147_136-77_ChIP_set-7_H3K27me3_abcam_Rep3_S76.bam,../peak_files/DiffBind/CAF-1_Paper/set-7_abc_H3K27me3_Rep2_peaks.broadPeak,macs
WT_K4me2_Rep_1,WT,H3K4me2,ChIP,,1,bam_files/DiffBind/CAF/146-19_ChIP_WT_H3K4me2_Rep1_S19.bam,../peak_files/DiffBind/CAF-1_Paper/WT_H3K4me2_Rep1_peaks.broadPeak,macs
WT_K4me2_Rep_2,WT,H3K4me2,ChIP,,2,bam_files/DiffBind/CAF/146-29_ChIP_WT_H3K4me2_Rep2_S29.bam,../peak_files/DiffBind/CAF-1_Paper/WT_H3K4me2_Rep2_peaks.broadPeak,macs
cac-1_K4me2_Rep_1,cac1,H3K4me2,ChIP,,1,bam_files/DiffBind/CAF/146-20_ChIP_cac-1_H3K4me2_Rep1_S20.bam,../peak_files/DiffBind/CAF-1_Paper/cac-1_H3K4me2_Rep1_peaks.broadPeak,macs
