X	logFC	FDR
NCU05161	2.13663079321922	6.97251727997991e-08
NCU02526	3.8692340750284	6.97325583093383e-08
NCU04268	2.7079663888935	6.97325583093383e-08
NCU07216	7.00501593175982	6.97332093591987e-08
NCU08092	2.85855552164473	6.97332093591987e-08
pks-5	2.79358065543271	7.14715849556495e-08
NCU04502	2.9695194863896	7.19249768698866e-08
NCU05042	3.17988293392553	7.31259274527283e-08
NCU04732	2.62421498602871	7.64982202058977e-08
NCU09276	4.41809241819505	7.83305071110336e-08
NCU05126	5.79652439227415	7.8881233457561e-08
NCU00096	3.35842212293272	7.89166483709326e-08
NCU05122	5.75386070425091	7.89166483709326e-08
NCU05189	5.21350704789974	7.95843230735968e-08
NCU02665	2.2336079381965	8.00036443111659e-08
NCU07209	3.36347867753263	8.0926620634724e-08
NCU07834	2.81887081114008	8.21516653876461e-08
NCU09631	2.33447138961177	8.48125198568497e-08
NCU07168	2.34418074339353	8.5837091971384e-08
NCU16875	2.89449909086383	8.75994780194961e-08
NCU00175	4.18263743883909	8.75994780194961e-08
NCU09448	5.38408147940856	8.83224398448936e-08
NCU00353	3.46957866619337	9.02490052396142e-08
gh61-10	2.97607957223999	9.35317791910404e-08
NCU03646	3.79380429508384	9.73803532104134e-08
NCU00825	2.55054672550141	9.79785267799138e-08
NCU08901	3.44713376546741	1.01352616634083e-07
NCU00938	2.24850026866662	1.01607889419096e-07
NCU04887	4.10920742731081	1.13731067479133e-07
NCU09177	6.54884141560553	1.17798684857805e-07
NCU05448	2.59866182592212	1.18913846770953e-07
NCU06042	2.71746630544966	1.18913846770953e-07
NCU01573	2.58550511042251	1.20923014093848e-07
nca-3	4.2177390664963	1.25004963207794e-07
NCU05869	2.49750570264647	1.27118029940123e-07
NCU02195	3.41612164110725	1.27196340494541e-07
NCU04487	2.06404088547647	1.27847852662193e-07
NCU04998	2.86519895243065	1.28617213440694e-07
NCU12050	3.53815465810421	1.31049988091982e-07
NCU07201	3.30427616980612	1.313705559289e-07
NCU03600	2.18857695264766	1.33115996693388e-07
NCU09166	4.08079177547452	1.33669412941215e-07
NCU04819	3.17572603253203	1.35093967129718e-07
NCU04871	4.04808841564152	1.35236793897708e-07
NCU07596	4.13136376041589	1.36864915611797e-07
NCU05321	3.24743276222997	1.41270686947736e-07
NCU06060	4.29971974012595	1.41634592944305e-07
NCU00332	2.08636926971659	1.4255752665378e-07
NCU09650	4.56686734449028	1.48391455725823e-07
NCU05350	2.28941502567365	1.52721077281546e-07
pre-2	3.33102278128619	1.52736382392252e-07
NCU02858	2.38851191077256	1.53051782674644e-07
NCU06989	2.69620445822926	1.53729349373063e-07
NCU05875	2.67472158490124	1.55094959537636e-07
NCU11306	2.81730675543313	1.59310955199568e-07
NCU02097	2.55723784247028	1.65230515950554e-07
NCU04560	2.83010675100625	1.69557019488558e-07
NCU05105	2.31074558444363	1.70156670542546e-07
NCU09904	4.43526885662198	1.71183007591459e-07
NCU04211	3.49089623300434	1.75792841621197e-07
NCU09188	2.92805695320777	1.75865239370816e-07
NCU03707	3.65742184870791	1.77432832300451e-07
